event_time,date,time,symbol,direction,option_symbol,entry_time,entry_premium,current_premium,pnl_pct,pnl_rs,lot_size,sl_premium,t1_premium,t2_premium,event_type,hold_minutes,notes
2026-05-29 12:15,2026-05-29,12:15,AUBANK,CALL,AUBANK26JUN1020CE,2026-05-26 09:15,33.8,23.6,-30.2,-10200.0,1000,22.0,50.7,60.8,UPDATE,4500,OPEN (-30.2%)
2026-05-29 12:15,2026-05-29,12:15,SBIN,PUT,SBIN26JUN970PE,2026-05-26 09:15,21.8,22.3,2.3,375.0,750,14.2,32.7,39.2,UPDATE,4500,OPEN (+2.3%)
2026-05-29 12:15,2026-05-29,12:15,TCS,PUT,TCS26JUN2280PE,2026-05-26 09:15,62.05,48.5,-21.8,-2371.0,175,40.3,93.1,111.7,UPDATE,4500,OPEN (-21.8%)
2026-05-29 12:15,2026-05-29,12:15,INDUSINDBK,CALL,INDUSINDBK26JUN930CE,2026-05-27 09:15,31.35,28.75,-8.3,-1820.0,700,20.4,47.0,56.4,UPDATE,3060,OPEN (-8.3%)
2026-05-29 12:15,2026-05-29,12:15,MOTHERSON,CALL,MOTHERSON26JUN143CE,2026-05-27 09:15,5.85,5.43,-7.2,-2583.0,6150,3.8,8.8,10.5,UPDATE,3060,OPEN (-7.2%)
2026-05-29 12:15,2026-05-29,12:15,MANKIND,CALL,MANKIND26JUN2420CE,2026-05-27 09:15,94.75,90.05,-5.0,-1058.0,225,61.6,142.1,170.6,UPDATE,3060,OPEN (-5.0%)
2026-05-29 12:15,2026-05-29,12:15,HDFCBANK,PUT,HDFCBANK26JUN760PE,2026-05-27 09:15,24.3,24.95,2.7,357.0,550,15.8,36.5,43.7,UPDATE,3060,OPEN (+2.7%)
2026-05-29 12:15,2026-05-29,12:15,TCS,PUT,TCS26JUN2280PE,2026-05-27 09:15,62.05,48.5,-21.8,-2371.0,175,40.3,93.1,111.7,UPDATE,3060,OPEN (-21.8%)
2026-05-29 12:15,2026-05-29,12:15,HCLTECH,PUT,HCLTECH26JUN1170PE,2026-05-27 09:15,40.25,30.0,-25.5,-3588.0,350,26.2,60.4,72.5,UPDATE,3060,OPEN (-25.5%)
2026-05-29 12:15,2026-05-29,12:15,INDUSINDBK,CALL,INDUSINDBK26JUN930CE,2026-05-28 09:15,32.05,28.75,-10.3,-2310.0,700,20.8,48.1,57.7,UPDATE,1620,OPEN (-10.3%)
2026-05-29 12:15,2026-05-29,12:15,MOTHERSON,CALL,MOTHERSON26JUN142CE,2026-05-28 09:15,5.76,6.3,9.4,3321.0,6150,3.7,8.6,10.4,UPDATE,1620,OPEN (+9.4%)
2026-05-29 12:15,2026-05-29,12:15,MANKIND,CALL,MANKIND26JUN2420CE,2026-05-28 09:15,94.8,90.05,-5.0,-1069.0,225,61.6,142.2,170.6,UPDATE,1620,OPEN (-5.0%)
2026-05-29 12:15,2026-05-29,12:15,HDFCBANK,PUT,HDFCBANK26JUN760PE,2026-05-28 09:15,24.15,24.95,3.3,440.0,550,15.7,36.2,43.5,UPDATE,1620,OPEN (+3.3%)
2026-05-29 12:15,2026-05-29,12:15,TCS,PUT,TCS26JUN2280PE,2026-05-28 09:15,63.05,48.5,-23.1,-2546.0,175,41.0,94.6,113.5,UPDATE,1620,OPEN (-23.1%)
2026-05-29 12:15,2026-05-29,12:15,HCLTECH,PUT,HCLTECH26JUN1170PE,2026-05-28 09:15,40.2,30.0,-25.4,-3570.0,350,26.1,60.3,72.4,UPDATE,1620,OPEN (-25.4%)
2026-05-29 12:15,2026-05-29,12:15,MUTHOOTFIN,PUT,MUTHOOTFIN26JUN3350PE,2026-05-29 09:15,116.85,124.2,6.3,2021.0,275,76.0,175.3,210.3,UPDATE,180,OPEN (+6.3%)
2026-05-29 12:15,2026-05-29,12:15,MAXHEALTH,PUT,MAXHEALTH26JUN1000PE,2026-05-29 09:15,31.2,41.5,33.0,5408.0,525,20.3,46.8,56.2,UPDATE,180,OPEN (+33.0%)
2026-05-29 12:15,2026-05-29,12:15,HINDUNILVR,PUT,HINDUNILVR26JUN2180PE,2026-05-29 09:15,44.75,52.0,16.2,2175.0,300,29.1,67.1,80.5,UPDATE,180,OPEN (+16.2%)
2026-05-29 12:15,2026-05-29,12:15,NESTLEIND,CALL,NESTLEIND26JUN1420CE,2026-05-29 09:15,42.3,44.1,4.3,900.0,500,27.5,63.4,76.1,UPDATE,180,OPEN (+4.3%)
