symbol,event_date,ann_time,subject,data_type,swing_pct,normal_avg_pct,is_dangerous,gap_pct
VEDL,2026-02-25,12:45,Outcome of Board Meeting,daily_only,,,False,0.722
VEDL,2026-04-29,14:42,Outcome of Board Meeting,intraday_5min,1.513,0.423,True,-28.501
HINDZINC,2025-07-18,13:51,Outcome of Board Meeting,daily_only,,,False,0.046
HINDZINC,2025-08-18,16:42,Outcome of Board Meeting,daily_only,,,True,1.545
HINDZINC,2025-10-17,14:21,Outcome of Board Meeting,daily_only,,,False,-0.05
HINDZINC,2026-01-19,15:02,Outcome of Board Meeting,daily_only,,,False,1.272
HINDZINC,2026-01-23,09:59,Outcome of Board Meeting,daily_only,,,,
HINDZINC,2026-04-24,14:11,Outcome of Board Meeting,intraday_5min,3.684,0.456,True,3.008
HINDZINC,2026-05-29,17:55,Outcome of Board Meeting,intraday_5min,1.883,0.248,True,0.474
JINDALSTEL,2025-08-12,18:55,Outcome of Board Meeting,daily_only,,,False,0.851
JINDALSTEL,2025-10-28,17:52,Outcome of Board Meeting,daily_only,,,False,-0.978
JINDALSTEL,2026-01-30,17:10,Outcome of Board Meeting,daily_only,,,True,-3.004
JINDALSTEL,2026-05-01,19:38,Outcome of Board Meeting,intraday_5min,,,False,
SUNPHARMA,2025-05-22,16:51,Outcome of Board Meeting,daily_only,,,True,-3.532
SUNPHARMA,2025-07-31,14:22,Outcome of Board Meeting,daily_only,,,False,-0.978
SUNPHARMA,2025-11-05,16:05,Outcome of Board Meeting,daily_only,,,,
SUNPHARMA,2026-05-22,14:43,Outcome of Board Meeting,intraday_5min,2.006,0.283,True,-0.249
DRREDDY,2025-05-09,16:42,Outcome of Board Meeting,daily_only,,,False,0.0
DRREDDY,2025-07-23,16:37,Outcome of Board Meeting,daily_only,,,False,1.098
DRREDDY,2025-10-24,16:44,Outcome of Board Meeting,daily_only,,,False,-0.047
