Symbol,Name,TopPick_Rank,Passed,Score,Grade,Price,MCap_Cr,PE,PEG,ROE_%,ROCE_%,OPM_%,DebtEquity,PromoterHold_%,Pledge_%,SalesGr3Y_%,ProfitGr3Y_%,FCF_Cr,SL,Target_1Y,Target_3Y,Target_5Y,52W_High,52W_Low,Dist_52H_%,Range_Pos_%,Tech_Signal,Momentum,Entry_Quality,FailReasons
APLAPOLLO,APL Apollo Tubes Ltd,,False,12,FAIL,1874.0,52033.0,43.2,1.85,25.3,31.6,,0.09,28.25,,12.6,23.3,709.0,,,,,,,,,N/A,N/A,❌ AVOID,Prom%:28.25(need >40.0)
ACUTAAS,Acutaas Chemicals Ltd,,False,12,FAIL,3035.0,24879.0,69.8,1.12,24.0,31.6,,0.02,32.66,,29.5,62.5,26.0,,,,,,,,,N/A,N/A,❌ AVOID,Prom%:32.66(need >40.0)
COFORGE,Coforge Ltd,,False,12,FAIL,1423.0,61194.0,37.3,1.14,20.6,23.5,,0.08,0.0,,27.0,32.8,1357.0,,,,,,,,,N/A,N/A,❌ AVOID,Prom%:0.0(need >40.0)
CAMS,Computer Age Management Servic,,False,12,FAIL,773.0,19173.0,40.3,2.2,39.0,49.0,,0.05,0.0,,16.0,18.3,314.0,,,,,,,,,N/A,N/A,❌ AVOID,Prom%:0.0(need >40.0)
DIXON,Dixon Technologies (India) Ltd,,False,12,FAIL,11673.0,70960.0,49.3,0.57,37.4,42.0,,0.21,28.69,,58.9,86.1,531.0,,,,,,,,,N/A,N/A,❌ AVOID,Prom%:28.69(need >40.0)
IEX,Indian Energy Exchange Ltd,,False,12,FAIL,127.0,11369.0,23.1,1.34,39.4,51.4,,0.01,,,15.4,17.2,202.0,,,,,,,,,N/A,N/A,❌ AVOID,Prom%:N/A
KPITTECH,KPIT Technologies Ltd,,False,12,FAIL,785.0,21528.0,31.8,1.76,21.0,26.3,,0.24,39.41,,24.3,18.1,9.0,,,,,,,,,N/A,N/A,❌ AVOID,Prom%:39.41(need >40.0)
KALYANKJIL,Kalyan Jewellers India Ltd,,False,12,FAIL,355.0,36693.0,26.6,0.58,24.8,20.5,,0.97,62.86,,36.4,46.2,1200.0,,,,,,,,,N/A,N/A,❌ AVOID,D/E:0.97(need <0.75)
KFINTECH,KFin Technologies Ltd,,False,12,FAIL,837.0,14453.0,41.0,1.99,22.9,30.5,,0.03,22.86,,21.8,20.6,167.0,,,,,,,,,N/A,N/A,❌ AVOID,Prom%:22.86(need >40.0)
MCX,Multi Commodity Exchange of In,,False,12,FAIL,3307.0,84337.0,63.3,0.59,56.3,71.4,,0.0,,,64.8,107.5,636.0,,,,,,,,,N/A,N/A,❌ AVOID,Prom%:N/A
